mmsi,imo,vessel_name,year_of_build,flag,dwt,teu_capacity,draft,loa,lbp,breadth_extreme,breadth_moulded,vessel_type
374815000,9741384,One Ibis,2016.0,PAN,139335.0,14026.0,15.79,364.15,349.2,,51.0,fully cellular containership
431552000,9741396,One Eagle,2016.0,JPN,139335.0,14026.0,15.79,364.15,349.2,50.6,50.6,fully cellular containership
477430500,9742015,Glory Zhendong,2016.0,HKG,12337.0,1020.0,8.23,142.99,140.0,,22.6,fully cellular containership
477810500,9741982,Glory Guangzhou,2016.0,HKG,12330.0,1020.0,8.23,142.99,140.0,,22.6,fully cellular containership
431080000,9741372,One Blue Jay,2016.0,JPN,139335.0,14026.0,15.79,364.15,349.2,,50.6,fully cellular containership
477333400,9742039,Glory Guandong,2017.0,HKG,12343.0,1020.0,8.23,142.99,140.0,,22.6,fully cellular containership
354928000,9741437,One Swan,2017.0,PAN,139335.0,14026.0,15.79,364.15,349.2,,50.6,fully cellular containership
431792000,9741425,One Falcon,2017.0,JPN,138907.0,14026.0,15.79,364.15,349.2,,51.0,fully cellular containership
372280000,9741413,One Hawk,2017.0,PAN,138907.0,14026.0,15.79,364.15,349.2,,50.6,fully cellular containership
413906248,,Rong Hang 688,2013.0,CHN,,,4.3,60.0,,16.0,,general cargo with container capacity
563294800,9742429,Ultra Coega,2016.0,SGP,16966.0,212.0,9.62,131.66,122.0,,23.0,general cargo with container capacity
374033000,9742405,Nord Logos,2015.0,PAN,16970.0,212.0,9.62,131.66,122.0,,23.0,general cargo with container capacity
